,open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore,datetime_utc,datetime_utc_str,time_str,pos
752,1713702720000,3162.32,3162.73,3160.85,3160.86,416.4,1713702779999,1316621.82816,1326,216.027,683056.85558,0,2024-04-21 12:32:59.999,2024-04-21 12:32:59.999,12:32,1
753,1713702780000,3160.85,3163.45,3160.71,3163.05,262.327,1713702839999,829493.75067,970,176.264,557336.49706,0,2024-04-21 12:33:59.999,2024-04-21 12:33:59.999,12:33,1
754,1713702840000,3163.04,3163.05,3162.0,3162.11,208.002,1713702899999,657825.42777,733,100.835,318896.23934,0,2024-04-21 12:34:59.999,2024-04-21 12:34:59.999,12:34,1
755,1713702900000,3162.1,3163.38,3162.1,3163.14,374.04,1713702959999,1182952.8564,915,218.635,691437.40286,0,2024-04-21 12:35:59.999,2024-04-21 12:35:59.999,12:35,1
756,1713702960000,3163.13,3166.41,3163.13,3166.22,664.601,1713703019999,2103655.88447,2011,409.647,1296538.07801,0,2024-04-21 12:36:59.999,2024-04-21 12:36:59.999,12:36,1
757,1713703020000,3166.22,3166.4,3165.01,3165.38,301.831,1713703079999,955509.00333,797,126.647,400915.05434,0,2024-04-21 12:37:59.999,2024-04-21 12:37:59.999,12:37,1
758,1713703080000,3165.37,3165.38,3162.74,3163.01,844.733,1713703139999,2672438.56925,1324,141.283,446976.8016,0,2024-04-21 12:38:59.999,2024-04-21 12:38:59.999,12:38,1
759,1713703140000,3162.92,3164.4,3162.91,3163.74,272.574,1713703199999,862336.85536,626,165.925,524918.75066,0,2024-04-21 12:39:59.999,2024-04-21 12:39:59.999,12:39,1
760,1713703200000,3163.73,3164.24,3163.0,3163.01,296.023,1713703259999,936529.71889,817,139.963,442776.07881,0,2024-04-21 12:40:59.999,2024-04-21 12:40:59.999,12:40,1
761,1713703260000,3163.01,3164.49,3162.24,3164.48,309.252,1713703319999,978159.43312,1103,169.212,535230.21736,0,2024-04-21 12:41:59.999,2024-04-21 12:41:59.999,12:41,1
762,1713703320000,3164.49,3165.0,3163.69,3164.84,341.585,1713703379999,1080958.05617,817,181.617,574717.29213,0,2024-04-21 12:42:59.999,2024-04-21 12:42:59.999,12:42,1
763,1713703380000,3164.85,3165.14,3164.44,3164.62,482.116,1713703439999,1525829.47777,782,300.687,951615.53977,0,2024-04-21 12:43:59.999,2024-04-21 12:43:59.999,12:43,1
764,1713703440000,3164.61,3164.61,3164.02,3164.43,164.907,1713703499999,521789.24866,554,83.659,264705.79692,0,2024-04-21 12:44:59.999,2024-04-21 12:44:59.999,12:44,1
765,1713703500000,3164.43,3165.07,3162.56,3164.8,400.554,1713703559999,1267214.38197,1225,124.693,394510.04624,0,2024-04-21 12:45:59.999,2024-04-21 12:45:59.999,12:45,1
766,1713703560000,3164.8,3165.89,3164.0,3165.88,407.862,1713703619999,1290940.87948,967,319.249,1010482.97379,0,2024-04-21 12:46:59.999,2024-04-21 12:46:59.999,12:46,1
767,1713703620000,3165.88,3166.2,3164.47,3165.42,280.355,1713703679999,887394.06272,927,89.965,284748.12777,0,2024-04-21 12:47:59.999,2024-04-21 12:47:59.999,12:47,1
768,1713703680000,3165.42,3165.42,3163.25,3164.55,277.09,1713703739999,876811.39756,840,167.27,529310.847,0,2024-04-21 12:48:59.999,2024-04-21 12:48:59.999,12:48,1
769,1713703740000,3164.55,3164.56,3161.5,3161.77,534.519,1713703799999,1690539.6601,1196,79.093,250154.42923,0,2024-04-21 12:49:59.999,2024-04-21 12:49:59.999,12:49,1
